item_name,category,mrp,discount,selling_price,quantity,date
Parle-G Biscuits,Snacks,10,5,5,85,3/23/2025
Maggi Noodles Pack,Instant Food,56,20,36,77,3/23/2025
Surf Excel 2kg,Home Care,420,20,400,34,3/23/2025
Ariel Liquid 1L,Home Care,395,15,380,77,3/23/2025
Lux Soap Pack,Personal Care,160,30,130,173,3/23/2025
Clinic Plus Shampoo 650ml,Personal Care,340,15,325,21,3/23/2025
Colgate Toothpaste 200g,Personal Care,135,10,125,10,3/23/2025
Harpic Toilet Cleaner,Home Care,190,10,180,32,3/23/2025
Good Day Biscuits,Snacks,30,5,25,77,3/23/2025
Britannia Bread,Bakery,45,10,35,16,3/23/2025
Tropicana Juice 1L,Beverages,120,10,110,73,3/23/2025
Pepsi 2.25L,Beverages,99,20,79,86,3/23/2025
Cadbury Dairy Milk,Confectionery,40,0,40,41,3/23/2025
Aashirvaad Atta 5kg,Staples,320,20,300,32,3/24/2025
Fortune Sunflower Oil 1L,Edible Oil,190,5,185,168,3/24/2025
India Gate Rice 5kg,Staples,420,0,420,12,3/24/2025
Amul Milk 1L,Dairy,62,20,42,142,3/24/2025
Amul Butter 500g,Dairy,275,20,255,72,3/24/2025
Tata Tea Gold 500g,Beverages,265,15,250,88,3/24/2025
Nescafe Coffee 200g,Beverages,240,10,230,195,3/24/2025
Parle-G Biscuits,Snacks,10,15,-5,141,3/24/2025
Maggi Noodles Pack,Instant Food,56,20,36,185,3/24/2025
Surf Excel 2kg,Home Care,420,0,420,142,3/24/2025
Ariel Liquid 1L,Home Care,395,20,375,124,3/24/2025
Lux Soap Pack,Personal Care,160,10,150,135,3/24/2025
Clinic Plus Shampoo 650ml,Personal Care,340,20,320,21,3/24/2025
Colgate Toothpaste 200g,Personal Care,135,10,125,179,3/24/2025
Harpic Toilet Cleaner,Home Care,190,5,185,91,3/24/2025
Good Day Biscuits,Snacks,30,15,15,36,3/24/2025
Britannia Bread,Bakery,45,5,40,63,3/24/2025
Tropicana Juice 1L,Beverages,120,15,105,91,3/24/2025
Pepsi 2.25L,Beverages,99,0,99,151,3/24/2025
Cadbury Dairy Milk,Confectionery,40,30,10,58,3/24/2025
Aashirvaad Atta 5kg,Staples,320,5,315,20,3/25/2025
Fortune Sunflower Oil 1L,Edible Oil,190,10,180,143,3/25/2025
India Gate Rice 5kg,Staples,420,10,410,158,3/25/2025
Amul Milk 1L,Dairy,62,10,52,30,3/25/2025
Amul Butter 500g,Dairy,275,0,275,104,3/25/2025
Tata Tea Gold 500g,Beverages,265,20,245,125,3/25/2025
Nescafe Coffee 200g,Beverages,240,5,235,104,3/25/2025
Parle-G Biscuits,Snacks,10,30,-20,62,3/25/2025
Maggi Noodles Pack,Instant Food,56,5,51,133,3/25/2025
Surf Excel 2kg,Home Care,420,20,400,104,3/25/2025
Ariel Liquid 1L,Home Care,395,20,375,14,3/25/2025
Lux Soap Pack,Personal Care,160,10,150,190,3/25/2025
Clinic Plus Shampoo 650ml,Personal Care,340,30,310,21,3/25/2025
Colgate Toothpaste 200g,Personal Care,135,20,115,189,3/25/2025
Harpic Toilet Cleaner,Home Care,190,5,185,120,3/25/2025
Good Day Biscuits,Snacks,30,5,25,48,3/25/2025
Britannia Bread,Bakery,45,30,15,59,3/25/2025
Tropicana Juice 1L,Beverages,120,30,90,44,3/25/2025
Pepsi 2.25L,Beverages,99,15,84,154,3/25/2025
Cadbury Dairy Milk,Confectionery,40,5,35,20,3/25/2025
Aashirvaad Atta 5kg,Staples,320,5,315,51,3/26/2025
Fortune Sunflower Oil 1L,Edible Oil,190,15,175,62,3/26/2025
India Gate Rice 5kg,Staples,420,5,415,161,3/26/2025
Amul Milk 1L,Dairy,62,0,62,79,3/26/2025
Amul Butter 500g,Dairy,275,30,245,118,3/26/2025
Tata Tea Gold 500g,Beverages,265,30,235,108,3/26/2025
Nescafe Coffee 200g,Beverages,240,0,240,153,3/26/2025
Parle-G Biscuits,Snacks,10,10,0,29,3/26/2025
Maggi Noodles Pack,Instant Food,56,20,36,149,3/26/2025
Surf Excel 2kg,Home Care,420,20,400,10,3/26/2025
Ariel Liquid 1L,Home Care,395,10,385,31,3/26/2025
Lux Soap Pack,Personal Care,160,0,160,80,3/26/2025
Clinic Plus Shampoo 650ml,Personal Care,340,20,320,14,3/26/2025
Colgate Toothpaste 200g,Personal Care,135,20,115,47,3/26/2025
Harpic Toilet Cleaner,Home Care,190,30,160,170,3/26/2025
Good Day Biscuits,Snacks,30,0,30,39,3/26/2025
Britannia Bread,Bakery,45,30,15,19,3/26/2025
Tropicana Juice 1L,Beverages,120,10,110,137,3/26/2025
Pepsi 2.25L,Beverages,99,15,84,145,3/26/2025
Cadbury Dairy Milk,Confectionery,40,10,30,125,3/26/2025
Aashirvaad Atta 5kg,Staples,320,5,315,157,3/27/2025
Fortune Sunflower Oil 1L,Edible Oil,190,15,175,199,3/27/2025
India Gate Rice 5kg,Staples,420,20,400,182,3/27/2025
Amul Milk 1L,Dairy,62,15,47,148,3/27/2025
Amul Butter 500g,Dairy,275,0,275,43,3/27/2025
Tata Tea Gold 500g,Beverages,265,10,255,18,3/27/2025
Nescafe Coffee 200g,Beverages,240,20,220,129,3/27/2025
Parle-G Biscuits,Snacks,10,10,0,124,3/27/2025
Maggi Noodles Pack,Instant Food,56,20,36,58,3/27/2025
Surf Excel 2kg,Home Care,420,20,400,104,3/27/2025
Ariel Liquid 1L,Home Care,395,20,375,38,3/27/2025
Lux Soap Pack,Personal Care,160,5,155,72,3/27/2025
Clinic Plus Shampoo 650ml,Personal Care,340,15,325,55,3/27/2025
Colgate Toothpaste 200g,Personal Care,135,15,120,71,3/27/2025
Harpic Toilet Cleaner,Home Care,190,0,190,39,3/27/2025
Good Day Biscuits,Snacks,30,10,20,23,3/27/2025
Britannia Bread,Bakery,45,0,45,36,3/27/2025
Tropicana Juice 1L,Beverages,120,15,105,118,3/27/2025
Pepsi 2.25L,Beverages,99,15,84,140,3/27/2025
Cadbury Dairy Milk,Confectionery,40,20,20,118,3/27/2025
Aashirvaad Atta 5kg,Staples,320,20,300,12,3/28/2025
Fortune Sunflower Oil 1L,Edible Oil,190,15,175,160,3/28/2025
India Gate Rice 5kg,Staples,420,10,410,72,3/28/2025
Amul Milk 1L,Dairy,62,0,62,104,3/28/2025
Amul Butter 500g,Dairy,275,15,260,64,3/28/2025
Tata Tea Gold 500g,Beverages,265,15,250,156,3/28/2025
Nescafe Coffee 200g,Beverages,240,0,240,26,3/28/2025
Parle-G Biscuits,Snacks,10,0,10,11,3/28/2025
Maggi Noodles Pack,Instant Food,56,15,41,195,3/28/2025
Surf Excel 2kg,Home Care,420,5,415,140,3/28/2025
Ariel Liquid 1L,Home Care,395,0,395,62,3/28/2025
Lux Soap Pack,Personal Care,160,20,140,129,3/28/2025
Clinic Plus Shampoo 650ml,Personal Care,340,5,335,121,3/28/2025
Colgate Toothpaste 200g,Personal Care,135,0,135,63,3/28/2025
Harpic Toilet Cleaner,Home Care,190,15,175,127,3/28/2025
Good Day Biscuits,Snacks,30,0,30,171,3/28/2025
Britannia Bread,Bakery,45,15,30,22,3/28/2025
Tropicana Juice 1L,Beverages,120,0,120,65,3/28/2025
Pepsi 2.25L,Beverages,99,5,94,35,3/28/2025
Cadbury Dairy Milk,Confectionery,40,30,10,88,3/28/2025
Aashirvaad Atta 5kg,Staples,320,15,305,136,3/29/2025
Fortune Sunflower Oil 1L,Edible Oil,190,30,160,149,3/29/2025
India Gate Rice 5kg,Staples,420,30,390,191,3/29/2025
Amul Milk 1L,Dairy,62,5,57,34,3/29/2025
Amul Butter 500g,Dairy,275,10,265,43,3/29/2025
Tata Tea Gold 500g,Beverages,265,10,255,126,3/29/2025
Nescafe Coffee 200g,Beverages,240,10,230,129,3/29/2025
Parle-G Biscuits,Snacks,10,10,0,68,3/29/2025
Maggi Noodles Pack,Instant Food,56,10,46,140,3/29/2025
Surf Excel 2kg,Home Care,420,15,405,54,3/29/2025
Ariel Liquid 1L,Home Care,395,30,365,117,3/29/2025
Lux Soap Pack,Personal Care,160,30,130,73,3/29/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,125,3/29/2025
Colgate Toothpaste 200g,Personal Care,135,10,125,118,3/29/2025
Harpic Toilet Cleaner,Home Care,190,0,190,163,3/29/2025
Good Day Biscuits,Snacks,30,30,0,117,3/29/2025
Britannia Bread,Bakery,45,20,25,32,3/29/2025
Tropicana Juice 1L,Beverages,120,10,110,131,3/29/2025
Pepsi 2.25L,Beverages,99,5,94,45,3/29/2025
Cadbury Dairy Milk,Confectionery,40,20,20,82,3/29/2025
Aashirvaad Atta 5kg,Staples,320,15,305,49,3/30/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,13,3/30/2025
India Gate Rice 5kg,Staples,420,15,405,44,3/30/2025
Amul Milk 1L,Dairy,62,15,47,177,3/30/2025
Amul Butter 500g,Dairy,275,20,255,50,3/30/2025
Tata Tea Gold 500g,Beverages,265,0,265,127,3/30/2025
Nescafe Coffee 200g,Beverages,240,15,225,193,3/30/2025
Parle-G Biscuits,Snacks,10,5,5,110,3/30/2025
Maggi Noodles Pack,Instant Food,56,20,36,58,3/30/2025
Surf Excel 2kg,Home Care,420,20,400,87,3/30/2025
Ariel Liquid 1L,Home Care,395,0,395,173,3/30/2025
Lux Soap Pack,Personal Care,160,0,160,55,3/30/2025
Clinic Plus Shampoo 650ml,Personal Care,340,5,335,91,3/30/2025
Colgate Toothpaste 200g,Personal Care,135,15,120,40,3/30/2025
Harpic Toilet Cleaner,Home Care,190,5,185,123,3/30/2025
Good Day Biscuits,Snacks,30,30,0,25,3/30/2025
Britannia Bread,Bakery,45,20,25,15,3/30/2025
Tropicana Juice 1L,Beverages,120,30,90,75,3/30/2025
Pepsi 2.25L,Beverages,99,5,94,76,3/30/2025
Cadbury Dairy Milk,Confectionery,40,15,25,175,3/30/2025
Aashirvaad Atta 5kg,Staples,320,20,300,163,3/31/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,67,3/31/2025
India Gate Rice 5kg,Staples,420,15,405,161,3/31/2025
Amul Milk 1L,Dairy,62,0,62,56,3/31/2025
Amul Butter 500g,Dairy,275,5,270,89,3/31/2025
Tata Tea Gold 500g,Beverages,265,30,235,187,3/31/2025
Nescafe Coffee 200g,Beverages,240,30,210,106,3/31/2025
Parle-G Biscuits,Snacks,10,5,5,114,3/31/2025
Maggi Noodles Pack,Instant Food,56,5,51,16,3/31/2025
Surf Excel 2kg,Home Care,420,15,405,153,3/31/2025
Ariel Liquid 1L,Home Care,395,30,365,19,3/31/2025
Lux Soap Pack,Personal Care,160,20,140,73,3/31/2025
Clinic Plus Shampoo 650ml,Personal Care,340,20,320,148,3/31/2025
Colgate Toothpaste 200g,Personal Care,135,30,105,81,3/31/2025
Harpic Toilet Cleaner,Home Care,190,20,170,103,3/31/2025
Good Day Biscuits,Snacks,30,0,30,56,3/31/2025
Britannia Bread,Bakery,45,15,30,36,3/31/2025
Tropicana Juice 1L,Beverages,120,5,115,39,3/31/2025
Pepsi 2.25L,Beverages,99,15,84,29,3/31/2025
Cadbury Dairy Milk,Confectionery,40,30,10,76,3/31/2025
Aashirvaad Atta 5kg,Staples,320,0,320,134,4/1/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,128,4/1/2025
India Gate Rice 5kg,Staples,420,20,400,41,4/1/2025
Amul Milk 1L,Dairy,62,20,42,58,4/1/2025
Amul Butter 500g,Dairy,275,20,255,130,4/1/2025
Tata Tea Gold 500g,Beverages,265,5,260,134,4/1/2025
Nescafe Coffee 200g,Beverages,240,15,225,189,4/1/2025
Parle-G Biscuits,Snacks,10,10,0,136,4/1/2025
Maggi Noodles Pack,Instant Food,56,10,46,98,4/1/2025
Surf Excel 2kg,Home Care,420,5,415,70,4/1/2025
Ariel Liquid 1L,Home Care,395,5,390,153,4/1/2025
Lux Soap Pack,Personal Care,160,10,150,114,4/1/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,46,4/1/2025
Colgate Toothpaste 200g,Personal Care,135,15,120,132,4/1/2025
Harpic Toilet Cleaner,Home Care,190,20,170,172,4/1/2025
Good Day Biscuits,Snacks,30,15,15,85,4/1/2025
Britannia Bread,Bakery,45,15,30,136,4/1/2025
Tropicana Juice 1L,Beverages,120,0,120,72,4/1/2025
Pepsi 2.25L,Beverages,99,0,99,131,4/1/2025
Cadbury Dairy Milk,Confectionery,40,15,25,152,4/1/2025
Aashirvaad Atta 5kg,Staples,320,20,300,36,4/2/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,141,4/2/2025
India Gate Rice 5kg,Staples,420,5,415,126,4/2/2025
Amul Milk 1L,Dairy,62,30,32,134,4/2/2025
Amul Butter 500g,Dairy,275,10,265,194,4/2/2025
Tata Tea Gold 500g,Beverages,265,0,265,97,4/2/2025
Nescafe Coffee 200g,Beverages,240,30,210,152,4/2/2025
Parle-G Biscuits,Snacks,10,0,10,191,4/2/2025
Maggi Noodles Pack,Instant Food,56,30,26,28,4/2/2025
Surf Excel 2kg,Home Care,420,15,405,10,4/2/2025
Ariel Liquid 1L,Home Care,395,5,390,166,4/2/2025
Lux Soap Pack,Personal Care,160,30,130,188,4/2/2025
Clinic Plus Shampoo 650ml,Personal Care,340,15,325,39,4/2/2025
Colgate Toothpaste 200g,Personal Care,135,30,105,38,4/2/2025
Harpic Toilet Cleaner,Home Care,190,5,185,80,4/2/2025
Good Day Biscuits,Snacks,30,5,25,128,4/2/2025
Britannia Bread,Bakery,45,15,30,27,4/2/2025
Tropicana Juice 1L,Beverages,120,10,110,41,4/2/2025
Pepsi 2.25L,Beverages,99,0,99,179,4/2/2025
Cadbury Dairy Milk,Confectionery,40,15,25,107,4/2/2025
Aashirvaad Atta 5kg,Staples,320,15,305,113,4/3/2025
Fortune Sunflower Oil 1L,Edible Oil,190,20,170,166,4/3/2025
India Gate Rice 5kg,Staples,420,15,405,162,4/3/2025
Amul Milk 1L,Dairy,62,10,52,48,4/3/2025
Amul Butter 500g,Dairy,275,5,270,185,4/3/2025
Tata Tea Gold 500g,Beverages,265,10,255,61,4/3/2025
Nescafe Coffee 200g,Beverages,240,10,230,193,4/3/2025
Parle-G Biscuits,Snacks,10,20,-10,49,4/3/2025
Maggi Noodles Pack,Instant Food,56,5,51,191,4/3/2025
Surf Excel 2kg,Home Care,420,20,400,92,4/3/2025
Ariel Liquid 1L,Home Care,395,30,365,17,4/3/2025
Lux Soap Pack,Personal Care,160,15,145,37,4/3/2025
Clinic Plus Shampoo 650ml,Personal Care,340,20,320,171,4/3/2025
Colgate Toothpaste 200g,Personal Care,135,15,120,116,4/3/2025
Harpic Toilet Cleaner,Home Care,190,30,160,44,4/3/2025
Good Day Biscuits,Snacks,30,0,30,41,4/3/2025
Britannia Bread,Bakery,45,30,15,28,4/3/2025
Tropicana Juice 1L,Beverages,120,10,110,21,4/3/2025
Pepsi 2.25L,Beverages,99,5,94,15,4/3/2025
Cadbury Dairy Milk,Confectionery,40,20,20,69,4/3/2025
Aashirvaad Atta 5kg,Staples,320,10,310,114,4/4/2025
Fortune Sunflower Oil 1L,Edible Oil,190,10,180,17,4/4/2025
India Gate Rice 5kg,Staples,420,0,420,100,4/4/2025
Amul Milk 1L,Dairy,62,15,47,81,4/4/2025
Amul Butter 500g,Dairy,275,5,270,188,4/4/2025
Tata Tea Gold 500g,Beverages,265,20,245,195,4/4/2025
Nescafe Coffee 200g,Beverages,240,0,240,16,4/4/2025
Parle-G Biscuits,Snacks,10,30,-20,24,4/4/2025
Maggi Noodles Pack,Instant Food,56,5,51,140,4/4/2025
Surf Excel 2kg,Home Care,420,10,410,181,4/4/2025
Ariel Liquid 1L,Home Care,395,10,385,165,4/4/2025
Lux Soap Pack,Personal Care,160,15,145,122,4/4/2025
Clinic Plus Shampoo 650ml,Personal Care,340,30,310,116,4/4/2025
Colgate Toothpaste 200g,Personal Care,135,15,120,107,4/4/2025
Harpic Toilet Cleaner,Home Care,190,20,170,112,4/4/2025
Good Day Biscuits,Snacks,30,20,10,144,4/4/2025
Britannia Bread,Bakery,45,20,25,199,4/4/2025
Tropicana Juice 1L,Beverages,120,5,115,34,4/4/2025
Pepsi 2.25L,Beverages,99,5,94,39,4/4/2025
Cadbury Dairy Milk,Confectionery,40,5,35,108,4/4/2025
Aashirvaad Atta 5kg,Staples,320,30,290,185,4/5/2025
Fortune Sunflower Oil 1L,Edible Oil,190,10,180,79,4/5/2025
India Gate Rice 5kg,Staples,420,10,410,85,4/5/2025
Amul Milk 1L,Dairy,62,20,42,60,4/5/2025
Amul Butter 500g,Dairy,275,30,245,52,4/5/2025
Tata Tea Gold 500g,Beverages,265,0,265,17,4/5/2025
Nescafe Coffee 200g,Beverages,240,0,240,71,4/5/2025
Parle-G Biscuits,Snacks,10,10,0,33,4/5/2025
Maggi Noodles Pack,Instant Food,56,5,51,96,4/5/2025
Surf Excel 2kg,Home Care,420,0,420,19,4/5/2025
Ariel Liquid 1L,Home Care,395,10,385,51,4/5/2025
Lux Soap Pack,Personal Care,160,10,150,24,4/5/2025
Clinic Plus Shampoo 650ml,Personal Care,340,5,335,163,4/5/2025
Colgate Toothpaste 200g,Personal Care,135,5,130,120,4/5/2025
Harpic Toilet Cleaner,Home Care,190,10,180,60,4/5/2025
Good Day Biscuits,Snacks,30,0,30,67,4/5/2025
Britannia Bread,Bakery,45,0,45,135,4/5/2025
Tropicana Juice 1L,Beverages,120,0,120,106,4/5/2025
Pepsi 2.25L,Beverages,99,15,84,194,4/5/2025
Cadbury Dairy Milk,Confectionery,40,10,30,24,4/5/2025
Aashirvaad Atta 5kg,Staples,320,30,290,159,4/6/2025
Fortune Sunflower Oil 1L,Edible Oil,190,20,170,66,4/6/2025
India Gate Rice 5kg,Staples,420,15,405,64,4/6/2025
Amul Milk 1L,Dairy,62,20,42,132,4/6/2025
Amul Butter 500g,Dairy,275,10,265,88,4/6/2025
Tata Tea Gold 500g,Beverages,265,30,235,198,4/6/2025
Nescafe Coffee 200g,Beverages,240,5,235,89,4/6/2025
Parle-G Biscuits,Snacks,10,0,10,40,4/6/2025
Maggi Noodles Pack,Instant Food,56,20,36,71,4/6/2025
Surf Excel 2kg,Home Care,420,15,405,40,4/6/2025
Ariel Liquid 1L,Home Care,395,0,395,44,4/6/2025
Lux Soap Pack,Personal Care,160,30,130,65,4/6/2025
Clinic Plus Shampoo 650ml,Personal Care,340,20,320,95,4/6/2025
Colgate Toothpaste 200g,Personal Care,135,15,120,189,4/6/2025
Harpic Toilet Cleaner,Home Care,190,10,180,94,4/6/2025
Good Day Biscuits,Snacks,30,20,10,85,4/6/2025
Britannia Bread,Bakery,45,5,40,164,4/6/2025
Tropicana Juice 1L,Beverages,120,15,105,183,4/6/2025
Pepsi 2.25L,Beverages,99,5,94,44,4/6/2025
Cadbury Dairy Milk,Confectionery,40,30,10,111,4/6/2025
Aashirvaad Atta 5kg,Staples,320,10,310,148,4/7/2025
Fortune Sunflower Oil 1L,Edible Oil,190,15,175,191,4/7/2025
India Gate Rice 5kg,Staples,420,30,390,126,4/7/2025
Amul Milk 1L,Dairy,62,15,47,177,4/7/2025
Amul Butter 500g,Dairy,275,10,265,90,4/7/2025
Tata Tea Gold 500g,Beverages,265,15,250,122,4/7/2025
Nescafe Coffee 200g,Beverages,240,30,210,22,4/7/2025
Parle-G Biscuits,Snacks,10,15,-5,66,4/7/2025
Maggi Noodles Pack,Instant Food,56,30,26,43,4/7/2025
Surf Excel 2kg,Home Care,420,10,410,80,4/7/2025
Ariel Liquid 1L,Home Care,395,5,390,102,4/7/2025
Lux Soap Pack,Personal Care,160,30,130,64,4/7/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,184,4/7/2025
Colgate Toothpaste 200g,Personal Care,135,0,135,110,4/7/2025
Harpic Toilet Cleaner,Home Care,190,15,175,135,4/7/2025
Good Day Biscuits,Snacks,30,15,15,39,4/7/2025
Britannia Bread,Bakery,45,15,30,13,4/7/2025
Tropicana Juice 1L,Beverages,120,20,100,69,4/7/2025
Pepsi 2.25L,Beverages,99,5,94,108,4/7/2025
Cadbury Dairy Milk,Confectionery,40,10,30,37,4/7/2025
Aashirvaad Atta 5kg,Staples,320,5,315,119,4/8/2025
Fortune Sunflower Oil 1L,Edible Oil,190,20,170,93,4/8/2025
India Gate Rice 5kg,Staples,420,15,405,165,4/8/2025
Amul Milk 1L,Dairy,62,5,57,126,4/8/2025
Amul Butter 500g,Dairy,275,15,260,42,4/8/2025
Tata Tea Gold 500g,Beverages,265,20,245,109,4/8/2025
Nescafe Coffee 200g,Beverages,240,5,235,12,4/8/2025
Parle-G Biscuits,Snacks,10,30,-20,67,4/8/2025
Maggi Noodles Pack,Instant Food,56,15,41,111,4/8/2025
Surf Excel 2kg,Home Care,420,5,415,152,4/8/2025
Ariel Liquid 1L,Home Care,395,20,375,36,4/8/2025
Lux Soap Pack,Personal Care,160,5,155,175,4/8/2025
Clinic Plus Shampoo 650ml,Personal Care,340,5,335,92,4/8/2025
Colgate Toothpaste 200g,Personal Care,135,5,130,189,4/8/2025
Harpic Toilet Cleaner,Home Care,190,15,175,44,4/8/2025
Good Day Biscuits,Snacks,30,15,15,92,4/8/2025
Britannia Bread,Bakery,45,30,15,169,4/8/2025
Tropicana Juice 1L,Beverages,120,20,100,140,4/8/2025
Pepsi 2.25L,Beverages,99,0,99,133,4/8/2025
Cadbury Dairy Milk,Confectionery,40,0,40,148,4/8/2025
Aashirvaad Atta 5kg,Staples,320,0,320,140,4/9/2025
Fortune Sunflower Oil 1L,Edible Oil,190,5,185,179,4/9/2025
India Gate Rice 5kg,Staples,420,20,400,165,4/9/2025
Amul Milk 1L,Dairy,62,0,62,43,4/9/2025
Amul Butter 500g,Dairy,275,20,255,147,4/9/2025
Tata Tea Gold 500g,Beverages,265,15,250,26,4/9/2025
Nescafe Coffee 200g,Beverages,240,10,230,170,4/9/2025
Parle-G Biscuits,Snacks,10,5,5,77,4/9/2025
Maggi Noodles Pack,Instant Food,56,5,51,179,4/9/2025
Surf Excel 2kg,Home Care,420,20,400,105,4/9/2025
Ariel Liquid 1L,Home Care,395,0,395,114,4/9/2025
Lux Soap Pack,Personal Care,160,30,130,106,4/9/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,145,4/9/2025
Colgate Toothpaste 200g,Personal Care,135,0,135,67,4/9/2025
Harpic Toilet Cleaner,Home Care,190,15,175,116,4/9/2025
Good Day Biscuits,Snacks,30,30,0,150,4/9/2025
Britannia Bread,Bakery,45,0,45,91,4/9/2025
Tropicana Juice 1L,Beverages,120,10,110,23,4/9/2025
Pepsi 2.25L,Beverages,99,5,94,122,4/9/2025
Cadbury Dairy Milk,Confectionery,40,20,20,102,4/9/2025
Aashirvaad Atta 5kg,Staples,320,10,310,54,4/10/2025
Fortune Sunflower Oil 1L,Edible Oil,190,5,185,197,4/10/2025
India Gate Rice 5kg,Staples,420,0,420,130,4/10/2025
Amul Milk 1L,Dairy,62,5,57,164,4/10/2025
Amul Butter 500g,Dairy,275,5,270,182,4/10/2025
Tata Tea Gold 500g,Beverages,265,20,245,164,4/10/2025
Nescafe Coffee 200g,Beverages,240,5,235,193,4/10/2025
Parle-G Biscuits,Snacks,10,10,0,182,4/10/2025
Maggi Noodles Pack,Instant Food,56,20,36,112,4/10/2025
Surf Excel 2kg,Home Care,420,20,400,118,4/10/2025
Ariel Liquid 1L,Home Care,395,20,375,73,4/10/2025
Lux Soap Pack,Personal Care,160,15,145,59,4/10/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,127,4/10/2025
Colgate Toothpaste 200g,Personal Care,135,30,105,19,4/10/2025
Harpic Toilet Cleaner,Home Care,190,20,170,177,4/10/2025
Good Day Biscuits,Snacks,30,20,10,61,4/10/2025
Britannia Bread,Bakery,45,5,40,134,4/10/2025
Tropicana Juice 1L,Beverages,120,10,110,195,4/10/2025
Pepsi 2.25L,Beverages,99,5,94,26,4/10/2025
Cadbury Dairy Milk,Confectionery,40,20,20,25,4/10/2025
Aashirvaad Atta 5kg,Staples,320,20,300,150,4/11/2025
Fortune Sunflower Oil 1L,Edible Oil,190,20,170,96,4/11/2025
India Gate Rice 5kg,Staples,420,30,390,179,4/11/2025
Amul Milk 1L,Dairy,62,20,42,50,4/11/2025
Amul Butter 500g,Dairy,275,20,255,46,4/11/2025
Tata Tea Gold 500g,Beverages,265,0,265,99,4/11/2025
Nescafe Coffee 200g,Beverages,240,30,210,48,4/11/2025
Parle-G Biscuits,Snacks,10,10,0,140,4/11/2025
Maggi Noodles Pack,Instant Food,56,10,46,136,4/11/2025
Surf Excel 2kg,Home Care,420,10,410,187,4/11/2025
Ariel Liquid 1L,Home Care,395,5,390,65,4/11/2025
Lux Soap Pack,Personal Care,160,30,130,128,4/11/2025
Clinic Plus Shampoo 650ml,Personal Care,340,5,335,173,4/11/2025
Colgate Toothpaste 200g,Personal Care,135,15,120,15,4/11/2025
Harpic Toilet Cleaner,Home Care,190,15,175,155,4/11/2025
Good Day Biscuits,Snacks,30,10,20,111,4/11/2025
Britannia Bread,Bakery,45,5,40,72,4/11/2025
Tropicana Juice 1L,Beverages,120,15,105,132,4/11/2025
Pepsi 2.25L,Beverages,99,5,94,50,4/11/2025
Cadbury Dairy Milk,Confectionery,40,0,40,89,4/11/2025
Aashirvaad Atta 5kg,Staples,320,20,300,84,4/12/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,23,4/12/2025
India Gate Rice 5kg,Staples,420,0,420,70,4/12/2025
Amul Milk 1L,Dairy,62,20,42,113,4/12/2025
Amul Butter 500g,Dairy,275,10,265,34,4/12/2025
Tata Tea Gold 500g,Beverages,265,20,245,138,4/12/2025
Nescafe Coffee 200g,Beverages,240,30,210,61,4/12/2025
Parle-G Biscuits,Snacks,10,20,-10,185,4/12/2025
Maggi Noodles Pack,Instant Food,56,15,41,133,4/12/2025
Surf Excel 2kg,Home Care,420,0,420,188,4/12/2025
Ariel Liquid 1L,Home Care,395,30,365,171,4/12/2025
Lux Soap Pack,Personal Care,160,10,150,43,4/12/2025
Clinic Plus Shampoo 650ml,Personal Care,340,30,310,161,4/12/2025
Colgate Toothpaste 200g,Personal Care,135,30,105,134,4/12/2025
Harpic Toilet Cleaner,Home Care,190,5,185,82,4/12/2025
Good Day Biscuits,Snacks,30,10,20,99,4/12/2025
Britannia Bread,Bakery,45,5,40,18,4/12/2025
Tropicana Juice 1L,Beverages,120,30,90,183,4/12/2025
Pepsi 2.25L,Beverages,99,0,99,54,4/12/2025
Cadbury Dairy Milk,Confectionery,40,5,35,141,4/12/2025
Aashirvaad Atta 5kg,Staples,320,0,320,196,4/13/2025
Fortune Sunflower Oil 1L,Edible Oil,190,0,190,68,4/13/2025
India Gate Rice 5kg,Staples,420,5,415,67,4/13/2025
Amul Milk 1L,Dairy,62,30,32,44,4/13/2025
Amul Butter 500g,Dairy,275,15,260,150,4/13/2025
Tata Tea Gold 500g,Beverages,265,20,245,10,4/13/2025
Nescafe Coffee 200g,Beverages,240,0,240,154,4/13/2025
Parle-G Biscuits,Snacks,10,10,0,135,4/13/2025
Maggi Noodles Pack,Instant Food,56,15,41,18,4/13/2025
Surf Excel 2kg,Home Care,420,20,400,182,4/13/2025
Ariel Liquid 1L,Home Care,395,30,365,86,4/13/2025
Lux Soap Pack,Personal Care,160,20,140,42,4/13/2025
Clinic Plus Shampoo 650ml,Personal Care,340,0,340,81,4/13/2025
Colgate Toothpaste 200g,Personal Care,135,5,130,82,4/13/2025
Harpic Toilet Cleaner,Home Care,190,20,170,28,4/13/2025
Good Day Biscuits,Snacks,30,20,10,117,4/13/2025
Britannia Bread,Bakery,45,15,30,106,4/13/2025
